type,name,latitude,longitude
Load Node,OCEANSDE_6_N002,33.1968,-117.38
Generation Node,HOLM1_7_B1,37.83,-119.99
Generation Node,HOLM2_7_B1,37.86,-120
Load Node,JENNY_1_N001,37.77,-122.26
Load Node,JENNY_1_N008,37.77,-122.26
Load Node,STATINJ_1_N001,37.7633,-122.21
Load Node,STATINJ_1_N012,37.7633,-122.21
Load Node,STATINJ_1_N027,37.77,-122.22
Generation Node,SNDBRJT_1_B1,38.19,-120.12
Load Node,ROSECYN_6_N001,32.8445,-117.24
Load Node,ROSECYN_6_N017,32.8445,-117.24
Load Node,DUNHILL_6_N001,32.9015,-117.23
Generation Node,CHSTN_115_B1,38.09,-120.3
Load Node,CHSTN_1_N001,38.09,-120.3
Generation Node,ELCAJNGT_7_B3,32.7954,-116.97
Load Node,ELCAJNGT_7_N001,32.7954,-116.97
Load Node,MIRAMAR_6_N001,32.894,-117.14
Load Node,MIRAMAR_6_N004,32.894,-117.14
Load Node,MIRAMAR_6_N017,32.894,-117.14
Load Node,BALFOUR_6_N001,37.926,-121.68
Load Node,FENTON_6_N001,32.895,-117.16
Load Node,ELCAJNGT_7_N004,32.7954,-116.97
Load Node,RIVRBANK_1_N001,37.7689,-120.91
Load Node,EDES_1_N001,37.7388,-122.19
Load Node,EDES_1_N003,37.7388,-122.19
Generation Node,MIRAMREF_7_B1,32.894,-117.14
Generation Node,EASTGATE_6_N004,32.885,-117.2
Load Node,EASTGATE_6_N101,32.885,-117.2
Load Node,EASTGATE_6_N201,32.885,-117.2
Load Node,MOROHILL_6_N001,33.2522,-117.3
Generation Node,DONNELLS_7_B1,38.24,-120.03
Load Node,OLETA_6_N001,38.4806,-120.84
Load Node,OLETA_6_N003,38.4806,-120.84
Generation Node,STANISLS_7_B1,38.15,-120.36
Generation Node,STANISLS_1_B1,38.14,-120.37
Load Node,STANISLS_1_N001,38.14,-120.37
Load Node,KYOCERA_6_N001,32.8198,-117.14
Load Node,SNTHLNE_6_N001,37.6224,-122.45
Load Node,SNTHLNE_6_N002,37.6224,-122.45
Load Node,PALA_6_N001,33.3559,-117.11
Load Node,MESAHGTS_6_N001,32.8296,-117.16
Load Node,MESAHGTS_6_N007,32.8296,-117.16
Generation Node,MESAHGTS_6_N011,32.8296,-117.16
Load Node,CLAIRMNT_6_N001,32.8259,-117.18
Load Node,CLAIRMNT_6_N008,32.8259,-117.18
Load Node,RVRBANK_1_N001,37.7689,-120.91
Load Node,RVRBANK_1_N005,37.7689,-120.91
Load Node,RSNTAFE_6_N001,33.0143,-117.2
Load Node,RSNTAFE_6_N008,33.0143,-117.2
Load Node,RSNTAFE_6_N009,33.0143,-117.2
Load Node,FORTRSS_6_N001,38.5396,-123.22
Load Node,MORMON_6_N001,37.9687,-121.19
Load Node,PLAINFLD_6_N001,38.6189,-121.79
Load Node,SANCRLS_6_N001,37.4997,-122.24
Load Node,SANCRLS_6_N002,37.4997,-122.24
Load Node,SANCRLS_6_N004,37.4997,-122.24
Load Node,SAUSALTO_6_N001,37.8634,-122.5
Load Node,SAUSALTO_6_N002,37.8634,-122.5
Load Node,CAMPHORA_6_N001,36.4683,-121.39
Load Node,CAMPHORA_6_N003,36.4683,-121.39
Load Node,DMTARSL_1_N001,37.7,-122.15
Load Node,CABRILLO_6_N001,32.7074,-117.25
Load Node,CABRILLO_6_N004,32.7074,-117.25
Generation Node,CABRILLO_6_N011,32.7074,-117.25
Load Node,PACFCBCH_6_N001,32.7992,-117.24
Load Node,PACFCBCH_6_N004,32.7992,-117.24
Load Node,GRBRVLLE_6_N001,40.1026,-123.79
Load Node,MURRAY_6_N001,32.7908,-117.02
Load Node,MURRAY_6_N004,32.7908,-117.02
Load Node,MURRAY_6_N005,32.7908,-117.02
Load Node,MURRAY_6_N015,32.7908,-117.02
Load Node,RUSSRCH_6_N001,40.8198,-123.83
Load Node,REDWOOD_6_N002,37.4903,-122.21
Load Node,REDWOOD_6_N005,37.4903,-122.21
Load Node,REDWOOD_6_N006,37.4903,-122.21
Load Node,REDWOOD_6_N007,37.4903,-122.21
Load Node,REDWOOD_6_N001,37.4903,-122.21
Load Node,GARFIELD_6_N001,32.7951,-117
Load Node,DAVIS_1_N001,39.06,-121.71
Load Node,DAVIS_1_N007,39.06,-121.71
Generation Node,DAVIS_1_N018,39.06,-121.71
Load Node,DAVIS_1_N012,39.06,-121.71
Load Node,PACIFICA_6_N001,37.5946,-122.49
Load Node,PACIFICA_6_N003,37.5946,-122.49
Load Node,SNTARTA_6_N001,37.0551,-120.63
Load Node,CREELMAN_6_N004,33.0181,-116.85
Load Node,CREELMAN_6_N001,33.0181,-116.85
Load Node,CREELMAN_6_N014,33.0181,-116.85
Load Node,SCRIPPS_6_N001,32.9111,-117.11
Load Node,SCRIPPS_6_N008,32.9111,-117.11
Load Node,SCRIPPS_6_N013,32.9111,-117.11
Load Node,BARRY_6_N001,39.0693,-121.69
Load Node,SANLUSRY_6_N013,36.7796,-120.73
Load Node,SANLUSRY_6_N014,36.7796,-120.73
Load Node,SANLUSRY_6_N101,36.7796,-120.73
Load Node,SANLUSRY_6_N201,36.8615,-120.78
Generation Node,STANDFD2_1_N011,37.43,-122.17
Load Node,WARNERS_6_N001,33.2472,-116.68
Load Node,EAGLROCK_2_N001,38.8293,-122.81
Load Node,EAGLROCK_2_N012,38.8293,-122.81
Load Node,RINCON_6_N001,33.2859,-116.96
Load Node,RINCON_6_N008,38.4901,-122.67
Load Node,DALYCTY_1_N001,37.6917,-122.46
Load Node,DALYCTY_1_N005,37.6917,-122.46
Load Node,LAGUNITS_6_N001,36.7489,-121.61
Generation Node,CPELCAJN_7_B1,32.7954,-116.97
Load Node,BATIQTOS_1_N001,33.1011,-117.25
Load Node,BATIQTOS_1_N008,33.1011,-117.25
Load Node,BATIQTOS_1_N015,33.1011,-117.25
Load Node,SLMNCRK_6_N001,38.3436,-123.04
Load Node,ESTGRND_1_N001,37.6539,-122.4
Load Node,ESTGRND_1_N005,37.6539,-122.4
Load Node,ESTGRND_1_N009,37.6539,-122.4
Load Node,VALLYHM_1_N001,37.8558,-120.94
Generation Node,VALLYHM_1_N004,37.8558,-120.94
Load Node,PALOMAR_1_N001,33.1228,-117.29
Load Node,PALOMAR_1_N004,33.1228,-117.29
Load Node,PALOMAR_1_N013,33.1228,-117.29
Load Node,BRKRSLG_1_N005,38.79,-121.55
Load Node,SANTYSBL_6_N001,33.1105,-116.67
Load Node,AVENA_1_N001,37.8422,-121.05
Load Node,BLLEHVN_6_N001,37.4772,-122.17
Load Node,BLLEHVN_6_N002,37.4772,-122.17
Load Node,BLLEHVN_6_N004,37.4772,-122.17
Load Node,BLLEHVN_6_N006,37.4772,-122.17
Load Node,BLLEHVN_6_N007,37.4772,-122.17
Generation Node,BLLEHVN_6_N009,37.4772,-122.17
Load Node,DUNNIGAN_6_N001,38.9248,-121.99
Load Node,SERRMNTE_1_N011,37.6917,-122.46
Load Node,DESCANSO_6_N001,32.8652,-116.63
Load Node,GABILAN_6_N001,36.7315,-121.61
